survey_date,spawn_start_date,spawn_end_date,region,location,side,map#,point_id,lat,lon,length_m,average_width_m
3/5/2005,2/26/2005,,Wakeman Sound,,,"one, 01-05",1,51.01658,-126.50633,173,3
3/5/2005,2/26/2005,,Wakeman Sound,,,"one, 01-05",2,51.00766,-126.50915,60,2
3/5/2005,2/26/2005,,Wakeman Sound,,,"one, 01-05",3,50.97606,-126.49357,34,2
3/5/2005,3/2/2005,,Wakeman Sound,,,"one, 01-05",4,50.97885,-126.53257,175,3
3/5/2005,3/2/2005,,Wakeman Sound,,,"one, 01-05",5,50.99408,-126.53974,,
3/6/2005,2/26/2005,2/28/2005,Knight Inlet ,,,01-05,G,51.01472,-125.54471,2095,2
3/6/2005,2/26/2005,2/28/2005,Knight Inlet ,,,01-05,H,50.99659,-125.53301,125,10
3/6/2005,2/26/2005,2/28/2005,Knight Inlet ,,,01-05,I,50.98702,-125.52879,1302,1
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,A,51.06673,-125.56147,546,20
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,B,51.06479,-125.55327,411,1
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,C,51.05686,-125.54405,670,1
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,D,51.04866,-125.54082,300,5
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,E,51.04286,-125.53861,125,10
3/6/2005,3/4/2005,3/5/2005,Knight Inlet ,,,01-05,F,51.03576,-125.54082,1116,2
3/18/2005,3/15/2005,3/16/2005,Tribune Channel,Smith Rock-1,,one,,50.81278,-126.39598,20,1
3/18/2005,3/15/2005,3/16/2005,Tribune Channel,Smith Rock-2,,one,,50.81278,-126.39598,34,2
3/18/2005,3/16/2005,3/17/2005,Tribune Channel,Smith Rock-3,,one,,50.81278,-126.39598,10,3
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-1,50.87348,-126.17655,210,1.5
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-2,50.87235,-126.17484,,
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-3,50.87072,-126.17397,,
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-4,50.87065,-126.1699,,
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-5,50.87232,-126.16978,,
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-6,50.87126,-126.16906,,
3/18/2005,3/17/2005,,Bond Sound ,,,B-01-05,B-7,50.87065,-126.16838,,
3/20/2005,3/19/2005,,Belleisle Sound,,,one,A,50.88097,-126.42602,45,1
3/21/2005,3/19/2005,3/20/2005,Wakeman Sound,,,two ,A,50.97805,-126.49226,130,2
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,1,50.92165,-126.55613,507,2
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,2,50.92632,-126.54893,846,3
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,3,50.93165,-126.53818,1200,3
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,4,50.93883,-126.52013,1347,2
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,5,50.94522,-126.51076,827,3
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,6,50.95307,-126.51432,866,3
4/1/2005,,,"Kingcome Inlet, Wakeman Sound",,,one ,7,50.96654,-126.52116,1150,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,1,50.80012,-126.19861,70,3
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,2,50.78227,-126.19464,15,2
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,3,50.78183,-126.18635,140,2
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,4,50.77963,-126.17648,60,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,5,50.7778,-126.1647,100,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,6,50.77533,-126.15311,520,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,9,50.77031,-126.13049,937,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,10,50.78036,-126.09474,60,1
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,11,50.78606,-126.07124,30,3
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,12,50.78597,-126.07082,20,2
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,7,50.77277,-126.14955,100,4
4/3/2005,3/23/2005,3/24/2005,"Tribune Channel, Thompson Sound ",,,two ,8,50.77126,-126.14435,1207,2
5/6/2005,4/21/2005,4/23/2005,Wakeman Sound,,,,,50.96232,-126.5169,,2