year,section,total records ,spawn index,sum_length,av_width,min_date,max_date
1937,121,0,0,0,0,0,0
1938,121,1,0,0,0,1938-02-25,1938-02-25
1939,121,1,0,0,0,1939-02-17,1939-02-17
1940,121,0,0,0,0,0,0
1941,121,0,0,0,0,0,0
1942,121,0,0,0,0,0,0
1943,121,0,0,0,0,0,0
1944,121,0,0,0,0,0,0
1945,121,0,0,0,0,0,0
1946,121,0,0,0,0,0,0
1947,121,0,0,0,0,0,0
1948,121,1,16181,2742,5,1948-03-30,1948-03-30
1949,121,0,0,0,0,0,0
1950,121,0,0,0,0,0,0
1951,121,0,0,0,0,0,0
1952,121,0,0,0,0,0,0
1953,121,0,0,0,0,0,0
1954,121,0,0,0,0,0,0
1955,121,0,0,0,0,0,0
1956,121,0,0,0,0,0,0
1957,121,0,0,0,0,0,0
1958,121,1,537,91,3,1958-04-23,1958-04-23
1959,121,0,0,0,0,0,0
1960,121,2,26973,4571,18,1960-04-20,1960-04-20
1961,121,0,0,0,0,0,0
1962,121,0,0,0,0,0,0
1963,121,0,0,0,0,0,0
1964,121,0,0,0,0,0,0
1965,121,0,0,0,0,0,0
1966,121,0,0,0,0,0,0
1967,121,0,0,0,0,0,0
1968,121,0,0,0,0,0,0
1969,121,0,0,0,0,0,0
1970,121,0,0,0,0,0,0
1971,121,0,0,0,0,0,0
1972,121,0,0,0,0,0,0
1973,121,0,0,0,0,0,0
1974,121,0,0,0,0,0,0
1975,121,0,0,0,0,0,0
1976,121,0,0,0,0,0,0
1977,121,0,0,0,0,0,0
1978,121,0,0,0,0,0,0
1979,121,1,407,69,23,1979-04-12,1979-04-12
1980,121,2,2425,411,13,1980-04-05,1980-04-20
1981,121,0,0,0,0,0,0
1982,121,0,0,0,0,0,0
1983,121,0,0,0,0,0,0
1984,121,0,0,0,0,0,0
1985,121,0,0,0,0,0,0
1986,121,0,0,0,0,0,0
1937,122,0,0,0,0,0,0
1938,122,0,0,0,0,0,0
1939,122,1,12312,804,0,1939-03-27,1939-03-27
1940,122,3,49265,3217,0,1940-03-16,1940-04-12
1941,122,2,26034,1700,0,1941-03-03,1941-04-20
1942,122,2,18469,1206,9,1942-03-18,1942-04-19
1943,122,3,17489,1142,11,1943-03-18,1943-04-12
1944,122,3,24487,1599,10,1944-03-16,1944-04-08
1945,122,2,34992,2285,11,1945-03-10,1945-04-10
1946,122,2,31290,2102,4,1946-03-22,1946-04-14
1947,122,4,36386,2376,4,1947-03-22,1947-04-14
1948,122,2,32190,2102,5,1948-04-28,1948-04-28
1949,122,3,28270,1846,46,1949-04-08,1949-04-23
1950,122,3,27305,1783,69,1950-03-28,1950-04-23
1951,122,3,32190,2102,27,1951-04-15,1951-04-25
1952,122,4,18607,1215,22,1952-03-12,1952-04-23
1953,122,3,34992,2285,41,1953-03-28,1953-04-09
1954,122,5,33170,2166,25,1954-03-15,1954-04-16
1955,122,1,49265,3217,25,1955-04-04,1955-04-04
1956,122,3,33599,2194,17,1956-04-02,1956-04-22
1957,122,3,11899,777,6,1957-03-30,1957-04-19
1958,122,3,32190,2102,5,1958-03-30,1958-05-02
1959,122,4,26585,1736,8,1959-03-13,1959-05-04
1960,122,3,18193,1188,7,1960-04-04,1960-04-15
1961,122,2,30796,2011,6,1961-03-21,1961-03-25
1962,122,1,13997,914,5,1962-04-01,1962-04-02
1963,122,2,10505,686,5,1963-04-14,1963-04-18
1964,122,5,51777,3381,5,1964-04-17,1964-04-17
1965,122,0,0,0,0,0,0
1966,122,3,68867,4497,13,1966-04-01,1966-04-17
1967,122,3,46187,3016,21,1967-03-26,1967-04-18
1968,122,4,67887,4433,24,1968-03-17,1968-04-19
1969,122,8,93063,6077,61,1969-03-29,1969-04-28
1970,122,10,196662,12842,46,1970-03-16,1970-04-19
1971,122,7,88454,5776,89,1971-03-31,1971-04-24
1972,122,9,62282,4067,64,1972-03-22,1972-04-14
1973,122,6,27290,1782,8,1973-04-04,1973-04-04
1974,122,8,12251,800,6,1974-03-26,1974-03-26
1975,122,12,21654,1414,7,1975-03-26,1975-03-26
1976,122,2,8407,549,5,1976-04-04,1976-04-04
1977,122,1,27994,1828,5,1977-04-04,1977-04-04
1978,122,0,0,0,0,0,0
1979,122,5,10092,659,17,1979-03-22,1979-04-07
1980,122,3,26968,1761,33,1980-04-02,1980-04-17
1981,122,0,0,0,0,0,0
1982,122,0,0,0,0,0,0
1983,122,1,12328,805,8,1983-03-24,1983-03-24
1984,122,7,66340,4332,12,1984-03-17,1984-03-24
1985,122,3,32159,2100,12,1985-03-20,1985-04-06
1986,122,5,44257,2890,38,1986-03-30,1986-04-24
1937,123,3,151916,8043,0,1937-03-05,1937-03-10
1938,123,3,151916,8043,0,1938-02-25,1938-03-06
1939,123,4,155373,8226,0,1939-03-01,1939-04-04
1940,123,8,179190,9487,0,1940-02-17,1940-04-10
1941,123,6,131026,6937,0,1941-03-02,1941-04-28
1942,123,3,7669,406,7,1942-03-02,1942-03-28
1943,123,5,137939,7303,8,1943-03-18,1943-04-14
1944,123,4,25971,1375,50,1944-03-08,1944-01-11
1945,123,3,25566,1883,14,1945-02-28,1945-03-27
1946,123,2,11654,617,4,1946-03-13,1946-03-21
1947,123,3,23818,1261,3,1947-03-03,1947-04-01
1948,123,1,17264,914,5,1948-04-01,1948-04-01
1949,123,3,23818,1261,41,1949-03-25,1949-04-10
1950,123,3,104526,5534,6,1950-03-18,1950-03-29
1951,123,1,869,46,3,1951-03-20,1951-03-20
1952,123,0,0,0,0,0,0
1953,123,3,123433,6535,48,1953-03-06,1953-04-07
1954,123,2,107983,5717,5,1954-03-10,1954-03-18
1955,123,2,9066,480,21,1955-03-03,1955-03-30
1956,123,1,45577,2413,5,1956-03-22,1956-03-22
1957,123,2,774,41,4,1957-03-26,1957-04-06
1958,123,3,65598,3473,94,1958-03-19,1958-03-28
1959,123,3,58704,3108,6,1959-03-25,1959-03-25
1960,123,0,0,0,0,0,0
1961,123,2,13826,732,5,1961-03-19,1961-03-19
1962,123,1,510,27,18,1962-04-10,1962-04-10
1963,123,2,7253,384,6,1963-02-26,1963-03-01
1964,123,5,96688,5119,28,1964-03-05,1964-03-24
1965,123,4,96699,5118,17,1965-03-10,1965-03-19
1966,123,2,30372,1608,18,1966-03-24,1966-03-24
1967,123,5,13656,723,40,1967-03-10,1967-04-01
1968,123,6,49203,2605,30,1968-03-22,1968-03-28
1969,123,7,65182,3451,19,1969-03-07,1969-04-02
1970,123,7,159698,8455,24,1970-03-08,1970-04-06
1971,123,6,32960,1745,9,1971-03-09,1971-04-08
1972,123,11,104791,5548,5,1972-03-22,1972-03-27
1973,123,8,160548,8500,6,1973-03-12,1973-04-02
1974,123,5,104186,5516,7,1974-03-18,1974-05-07
1975,123,7,105301,5575,32,1975-03-18,1975-05-10
1976,123,2,53510,2833,10,1976-03-30,1976-05-02
1977,123,3,51791,2742,9,1977-03-25,1977-03-30
1978,123,0,0,0,0,0,0
1979,123,0,0,0,0,0,0
1980,123,6,166139,8796,15,1980-04-03,1980-04-21
1981,123,4,20720,1097,27,1981-04-08,1981-04-08
1982,123,7,14846,786,8,1982-04-03,1982-04-03
1983,123,0,0,0,0,0,0
1984,123,0,0,0,0,0,0
1985,123,1,4722,250,2,1985-04-01,1985-04-01
1986,123,0,0,0,0,0,0
1937,124,0,0,0,0,0,0
1938,124,0,0,0,0,0,0
1939,124,0,0,0,0,0,0
1940,124,0,0,0,0,0,0
1941,124,4,44380,3007,0,74,96
1942,124,1,17799,1206,3,88,88
1943,124,0,0,0,0,0,0
1944,124,0,0,0,0,0,0
1945,124,0,0,0,0,0,0
1946,124,0,0,0,0,0,0
1947,124,1,2022,137,3,111,111
1948,124,1,2701,183,4,101,101
1949,124,0,0,0,0,0,0
1950,124,2,95978,6503,8,104,105
1951,124,1,2701,183,1,107,107
1952,124,2,9446,0,48,101,101
1953,124,2,106840,6503,5,94,123
1954,124,1,17799,183,5,90,90
1955,124,1,23747,640,5,110,110
1956,124,2,71227,7239,5,108,108
1957,124,3,75537,1206,11,102,116
1958,124,5,94827,1609,7,90,137
1959,124,3,57250,4826,5,108,117
1960,124,1,13490,5118,3,105,105
1961,124,7,113320,6425,4,117,118
1962,124,2,33724,3879,5,117,117
1963,124,1,74193,914,18,177,117
1964,124,4,67449,7678,5,113,113
1965,124,2,33724,2285,7,73,119
1966,124,2,49915,3382,4,89,111
1967,124,2,54712,3707,2,124,124
1968,124,1,56660,3839,4,97,97
1969,124,1,13490,914,6,89,89
1970,124,1,107918,7312,4,95,95
1971,124,2,11468,777,4,95,110
1972,124,6,27658,1874,34,82,131
1973,124,2,14833,1005,55,84,92
1974,124,2,28323,1919,55,114,114
1975,124,2,16191,1097,30,85,94
1976,124,1,16191,1097,41,84,84
1977,124,1,6745,457,18,85,85
1978,124,0,0,0,0,0,0
1979,124,0,0,0,0,0,0
1980,124,0,0,0,0,0,0
1981,124,2,32366,2193,7,71,73
1982,124,0,0,0,0,0,0
1983,124,0,0,0,0,0,0
1984,124,4,41163,2789,64,101,101
1985,124,3,15940,1080,2,99,99
1986,124,0,0,0,0,0,0
1937,125,3,188697,9652,0,,
1938,125,3,188697,9652,0,,
1939,125,3,188697,9652,0,,
1940,125,4,101523,5193,0,,
1941,125,6,115814,5924,0,,
1942,125,5,28778,1472,5,,
1943,125,2,28582,1462,8,,
1944,125,4,36637,1874,50,,
1945,125,4,28602,1463,42,,
1946,125,8,40234,2058,4,,
1947,125,2,12512,640,4,,
1948,125,3,67897,3473,5,,
1949,125,6,103674,5303,6,,
1950,125,8,116401,5954,100,,
1951,125,4,107564,5502,98,,
1952,125,9,42091,2153,41,,
1953,125,4,25298,1294,53,,
1954,125,2,4457,228,28,,
1955,125,2,5806,297,4,,
1956,125,2,723,37,2,,
1957,125,0,0,0,0,,
1958,125,3,7155,366,14,,
1959,125,1,1349,69,5,,
1960,125,1,3578,183,3,,
1961,125,1,17869,914,5,,
1962,125,1,1779,91,4,,
1963,125,0,0,0,0,,
1964,125,2,11613,594,4,,
1965,125,1,9834,457,14,,
1966,125,1,4106,210,3,,
1967,125,2,33939,1736,10,,
1968,125,6,38963,1993,9,,
1969,125,8,66666,3410,15,,
1970,125,12,128209,6558,20,,
1971,125,2,18768,960,115,,
1972,125,10,190476,9743,17,,
1973,125,12,226936,11608,22,,
1974,125,3,112569,5758,2,,
1975,125,7,88444,4524,17,,
1976,125,8,67917,3474,10,,
1977,125,1,53606,2742,9,,
1978,125,4,41094,2102,6,,
1979,125,1,3578,183,1,,
1980,125,3,52218,2671,3,,
1981,125,4,8680,444,7,,
1982,125,0,0,0,0,,
1983,125,0,0,0,0,,
1984,125,0,0,0,0,,
1985,125,1,1955,100,6,,
1986,125,0,0,0,0,,
1937,126,1,8544,1609,0,,
1938,126,1,8544,1609,0,,
1939,126,2,59796,11261,0,,
1940,126,3,42708,8043,0,,
1941,126,3,42708,8043,0,,
1942,126,4,2809,529,3,,
1943,126,2,25626,4826,8,,
1944,126,1,25626,4826,8,,
1945,126,3,12133,2285,8,,
1946,126,2,10673,2010,4,,
1947,126,3,24946,4698,3,,
1948,126,4,22568,4250,4,,
1949,126,2,98277,18508,5,,
1950,126,3,72264,13609,6,,
1951,126,2,51252,9652,6,,
1952,126,1,25626,4826,5,,
1953,126,2,38439,7239,5,,
1954,126,2,44652,8409,4,,
1955,126,1,196,37,4,,
1956,126,2,34244,6449,5,,
1957,126,2,24267,4570,5,,
1958,126,7,23290,4386,3,,
1959,126,2,85130,16032,4,,
1960,126,4,59207,11150,4,,
1961,126,2,3398,640,5,,
1962,126,1,12133,2285,3,,
1963,126,0,0,0,0,,
1964,126,4,77653,14624,3,,
1965,126,0,0,0,0,,
1966,126,2,23783,4479,5,,
1967,126,3,27033,5091,2,,
1968,126,4,24022,4524,3,,
1969,126,7,76395,14387,6,,
1970,126,8,144634,27238,3,,
1971,126,4,118057,22233,2,,
1972,126,5,109195,20564,2,,
1973,126,6,100587,18943,4,,
1974,126,5,87365,16453,2,,
1975,126,7,124488,23444,14,,
1976,126,7,96095,18097,12,,
1977,126,3,101920,19194,5,,
1978,126,3,65037,12248,5,,
1979,126,7,82507,15538,2,,
1980,126,11,90148,16977,6,,
1981,126,17,91959,17318,7,,
1982,126,17,85539,16109,3,,
1983,126,22,64251,12100,4,,
1984,126,5,77600,14614,4,,
1985,126,5,83510,15727,4,,
1986,126,10,56934,10722,4,,
1937,127,1,8506,804,0,,
1938,127,1,17023,1609,0,,
1939,127,1,17023,1609,0,,
1940,127,2,357414,33782,0,,
1941,127,2,257232,24313,0,,
1942,127,0,0,0,0,,
1943,127,0,0,0,0,,
1944,127,0,0,0,0,,
1945,127,0,0,0,0,,
1946,127,0,0,0,0,,
1947,127,5,127648,12065,3,,
1948,127,2,62856,5941,3,,
1949,127,1,17023,1609,5,,
1950,127,0,0,0,0,,
1951,127,2,93612,8848,5,,
1952,127,3,71468,6755,11,,
1953,127,2,136154,12869,5,,
1954,127,5,75827,7167,6,,
1955,127,1,68082,6435,5,,
1956,127,1,102118,9652,5,,
1957,127,1,66337,6270,5,,
1958,127,1,153177,14478,2,,
1959,127,2,98077,9270,4,,
1960,127,7,125712,11882,3,,
1961,127,0,0,0,0,,
1962,127,0,0,0,0,,
1963,127,0,0,0,0,,
1964,127,1,29010,2742,3,,
1965,127,1,17404,1645,3,,
1966,127,5,151823,14350,3,,
1967,127,2,80260,7586,4,,
1968,127,5,134419,12705,6,,
1969,127,4,210912,19935,8,,
1970,127,7,289628,27375,6,,
1971,127,2,428892,40538,1,,
1972,127,16,462240,43690,13,,
1973,127,8,255295,24130,62,,
1974,127,10,312343,29522,41,,
1975,127,7,145052,13710,43,,
1976,127,12,243689,23033,18,,
1977,127,7,234019,22119,29,,
1978,127,4,120877,11425,14,,
1979,127,11,263051,24863,1,,
1980,127,18,378087,35736,6,,
1981,127,13,351224,33197,4,,
1982,127,14,318225,30078,5,,
1983,127,9,277196,26200,5,,
1984,127,10,186229,17602,7,,
1985,127,13,411689,38912,5,,
1986,127,17,163800,15482,8,,